dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,0,NUCLEO-F446RE,STM32F446RE,84,22759,falcon512,keygen,0,897,199581449,2375969,115936.99772259,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2550,2500,588,0.0,2375.9,2375.9,23760.0,14787.550306776096,20066.5885,27959.766,35132.4235523,115936.99772259
dataset2,0,NUCLEO-F446RE,STM32F446RE,84,23529,falcon512,sign,11,655,63470431,755600,49845.58348935001,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2550,2502,588,770.0,1525.5,755.5,7556.0,19993.014109449443,20055.156000000003,20161.951,15104.7222695,49845.58348935001
dataset2,0,NUCLEO-F446RE,STM32F446RE,84,23554,falcon512,verify,655,0,876691,10436,685.8220713299984,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2550,2502,588,795.0,805.4,10.399999999999975,105.0,19983.411180952386,20034.0898,20057.34,207.82487009999957,685.8220713299984
dataset2,1,NUCLEO-F446RE,STM32F446RE,84,25778,falcon512,keygen,0,897,180575165,2149704,17150.82986595,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2546,2502,588,3019.0,5168.7,2149.7,21498.0,2417.654146804354,2535.1645,2589.912,5197.221171499999,17150.82986595
dataset2,1,NUCLEO-F446RE,STM32F446RE,84,26552,falcon512,sign,11,655,63759523,759041,6014.61510441,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2546,2499,588,3793.0,4552.0,759.0,7591.0,2401.3352571466207,2430.143,2466.542,1822.6106377,6014.61510441
dataset2,1,NUCLEO-F446RE,STM32F446RE,84,26578,falcon512,verify,655,0,876869,10438,83.07771219000071,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2546,2499,588,3819.0,3829.4,10.400000000000093,105.0,2420.527076190476,2439.955,2447.098,25.175064300000223,83.07771219000071
dataset2,2,NUCLEO-F446RE,STM32F446RE,84,28862,falcon512,keygen,0,897,185682553,2210506,16944.39169104,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2543,2502,588,6103.0,8313.5,2210.5,22106.0,2322.851404731747,2344.62925,2451.472,5134.6641488000005,16944.39169104
dataset2,2,NUCLEO-F446RE,STM32F446RE,84,29630,falcon512,sign,11,654,63259824,753093,5767.832716140001,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2543,2500,588,6871.0,7624.0,753.0,7531.0,2321.1522564068514,2337.14,2371.635,1747.8280958000005,5767.832716140001
dataset2,2,NUCLEO-F446RE,STM32F446RE,84,29656,falcon512,verify,654,0,876756,10437,79.66479014999713,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2542,2500,588,6897.0,6907.4,10.399999999999636,105.0,2321.3418571428574,2332.8184,2341.838,24.14084549999913,79.66479014999713
dataset2,3,NUCLEO-F446RE,STM32F446RE,84,32940,falcon512,keygen,0,897,269624619,3209816,181621.72695711016,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2540,2499,588,10181.0,13390.8,3209.7999999999997,32099.0,17146.286722047418,31202.320499999994,38680.398,55036.88695670005,181621.72695711016
dataset2,3,NUCLEO-F446RE,STM32F446RE,84,33708,falcon512,sign,11,653,63177427,752112,12377.11776905997,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2539,2502,588,10949.0,11701.1,752.1000000000004,7522.0,4986.519189311353,9714.12815,22479.418,3750.641748199991,12377.11776905997
dataset2,3,NUCLEO-F446RE,STM32F446RE,84,33733,falcon512,verify,653,0,876555,10435,73.75043510999764,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2539,2502,588,10974.0,10984.4,10.399999999999636,105.0,2149.1006,2186.8498,2190.862,22.348616699999283,73.75043510999764
dataset2,4,NUCLEO-F446RE,STM32F446RE,84,36071,falcon512,keygen,0,897,190103472,2263136,204876.46086798,7574,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2539,2499,588,13312.0,15575.1,2263.1000000000004,22632.0,27432.9301973754,33837.007450000005,38661.285,62083.77602060001,204876.46086798
dataset2,4,NUCLEO-F446RE,STM32F446RE,84,36841,falcon512,sign,11,659,63456574,755435,71321.62463217018,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2537,2499,589,14082.0,14837.4,755.3999999999996,7555.0,28610.59003679682,34029.4713,36396.191,21612.61352490005,71321.62463217018
dataset2,4,NUCLEO-F446RE,STM32F446RE,84,36866,falcon512,verify,659,0,877079,10441,974.8130617499636,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2537,2499,589,14107.0,14117.4,10.399999999999636,105.0,28376.00536190476,29883.6896,31947.691,295.3978974999889,974.8130617499636
dataset2,5,NUCLEO-F446RE,STM32F446RE,84,41622,falcon512,keygen,0,897,393248218,4681526,433693.2682744198,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2534,2499,589,18863.0,23544.5,4681.5,46816.0,28072.548590780923,33845.82325,39012.246,131422.20250739995,433693.2682744198
dataset2,5,NUCLEO-F446RE,STM32F446RE,84,42392,falcon512,sign,11,652,63441683,755258,72201.22925268036,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2532,2497,588,19633.0,20388.2,755.2000000000007,7553.0,28971.71871680127,34031.6622,35065.594,21879.160379600115,72201.22925268036
dataset2,5,NUCLEO-F446RE,STM32F446RE,84,42418,falcon512,verify,652,0,876582,10435,1082.1256644000275,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2532,2497,588,19659.0,19669.4,10.400000000001455,105.0,31551.123361904763,34265.526,34567.777,327.91686800000844,1082.1256644000275
dataset2,6,NUCLEO-F446RE,STM32F446RE,84,45589,falcon512,keygen,0,897,260098800,3096414,279252.77862800966,7549,784,784,gcc-arm-none-eabi,O2,off,unknown,nogit,2530,2497,589,22830.0,25926.4,3096.400000000001,30965.0,27329.168879186174,32919.680199999995,38935.211,84622.0541296999,279252.77862800966
