dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset1,0,NUCLEO-F446RE,STM32F446RE,84,9006,p256,keygen,0,64,33059111,393560,42689.33951,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,501,2182.53,2574.93,392.40000000000003,39241,32966.82225,36000.035,37890.137,12936.16349,42689.33951
dataset1,0,NUCLEO-F446RE,STM32F446RE,84,9431,p256,sign,32,71,34598120,411882,131923.933,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,501,2575.0,3789.84,1214.84,121485,32907.18232,36052.309,38259.621,39976.9494,131923.933
dataset1,0,NUCLEO-F446RE,STM32F446RE,84,10259,p256,verify,32,0,68381408,814064,43269.57372,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2218,501,3818.3,4216.47,398.17,39818,32930.57444,36052.309,37573.949,13111.99204,43269.57372
dataset1,1,NUCLEO-F446RE,STM32F446RE,84,10691,p256,keygen,0,64,33124269,394336,132808.1519,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2217,501,4216.54,5438.96,1222.42,122243,32922.33126,36104.598,38682.664,40244.89451,132808.1519
dataset1,1,NUCLEO-F446RE,STM32F446RE,84,11114,p256,sign,32,70,34348584,408911,42955.9421,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2214,501,5463.86,5857.65,393.78999999999996,39380,33055.50517,36104.598,38206.797,13016.95215,42955.9421
dataset1,1,NUCLEO-F446RE,STM32F446RE,84,11937,p256,verify,32,0,68034343,809932,133221.6167,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2215,501,5857.72,7082.64,1224.92,122493,32957.42323,36156.898,38418.164,40370.18687,133221.6167
dataset1,2,NUCLEO-F446RE,STM32F446RE,84,12371,p256,keygen,0,64,33179002,394988,42968.28121,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2217,502,7106.85,7500.64,393.78999999999996,39380,33064.99696,36104.598,37626.613,13020.69127,42968.28121
dataset1,2,NUCLEO-F446RE,STM32F446RE,84,12795,p256,sign,32,70,34505639,410781,133404.6727,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2217,502,7500.71,8727.66,1226.95,122696,32948.09362,36156.898,38735.605,40425.65839,133404.6727
dataset1,2,NUCLEO-F446RE,STM32F446RE,84,13618,p256,verify,32,0,68001718,809544,42968.66413,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,502,8751.88,9145.64,393.76,39377,33067.76485,36104.598,37679.293,13020.80731,42968.66413
dataset1,3,NUCLEO-F446RE,STM32F446RE,84,14050,p256,keygen,0,64,33113564,394209,133968.7129,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,502,9145.71,10378.39,1232.68,123269,32933.59962,36156.898,38682.664,40596.57967,133968.7129
dataset1,3,NUCLEO-F446RE,STM32F446RE,84,14472,p256,sign,32,72,34362254,409074,43008.25292,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2215,502,10403.32,10797.22,393.9,39391,33086.49293,36156.898,37679.293,13032.80392,43008.25292
dataset1,3,NUCLEO-F446RE,STM32F446RE,84,15304,p256,verify,32,0,68708767,817961,44831.91976,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2215,501,10810.67,11222.87,412.2,41221,32958.38345,36209.211,39053.516,13585.43023,44831.91976
dataset1,4,NUCLEO-F446RE,STM32F446RE,84,15736,p256,keygen,0,64,33059105,393560,88621.21655,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2211,2215,501,11236.17,12050.95,814.78,81479,32959.68605,36156.898,37731.984,26854.91411,88621.21655
dataset1,4,NUCLEO-F446RE,STM32F446RE,84,16161,p256,sign,32,72,34548294,411289,43087.99994,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,500,12088.76,12483.23,394.46999999999997,39448,33099.92286,36209.211,37626.613,13056.96968,43087.99994
dataset1,4,NUCLEO-F446RE,STM32F446RE,84,16998,p256,verify,32,0,69223699,824091,44534.19895,3526,45200,45200,gcc-arm-none-eabi,O2,off,,,2210,2214,500,12497.29,12906.28,408.99,40900,32996.45728,36209.211,38841.523,13495.2118,44534.19895
