dataset,run_index,board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
dataset2,0,NUCLEO-F446RE,STM32F446RE,84,609696,sphincs_sha2_128s,keygen,0,32,1163401011,13850012,1279338.9881877,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2371,2388,432,588.0,14438.0,13850.0,13851.0,27991.2692252545,31333.4745,31623.664,387678.481269,1279338.9881877
dataset2,0,NUCLEO-F446RE,STM32F446RE,84,714942,sphincs_sha2_128s,sign,12,7856,249130577,2965840,304505.9495577,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2367,2380,433,105834.0,108799.0,2965.0,2966.0,31121.291329399868,31422.5175,31709.588,92274.530169,304505.9495577
dataset2,0,NUCLEO-F446RE,STM32F446RE,84,715063,sphincs_sha2_128s,verify,7856,0,8613610,102542,10491.655449000002,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2367,2381,433,105955.0,106057.0,102.0,103.0,31168.12626213592,31456.9222,31569.203,3179.28953,10491.655449000002
dataset2,1,NUCLEO-F446RE,STM32F446RE,84,728992,sphincs_sha2_128s,keygen,0,32,1163482966,13850987,1417472.7741108,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2368,2380,439,119884.0,133734.0,13850.0,13851.0,31013.52358154646,31428.586000000003,31727.186,429537.204276,1417472.7741108
dataset2,1,NUCLEO-F446RE,STM32F446RE,84,834220,sphincs_sha2_128s,sign,12,7856,247670092,2948453,302390.5438488,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2364,2377,433,225112.0,228060.0,2948.0,2949.0,31083.31124415056,31443.6198,31749.088,91633.498136,302390.5438488
dataset2,1,NUCLEO-F446RE,STM32F446RE,84,834340,sphincs_sha2_128s,verify,7856,0,8559786,101902,10418.856294,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2364,2377,433,225232.0,225333.0,101.0,102.0,31260.54333333333,31459.0972,31634.748,3157.22918,10418.856294
dataset2,2,NUCLEO-F446RE,STM32F446RE,84,848271,sphincs_sha2_128s,keygen,0,32,1163570390,13852028,1418037.7825449,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2364,2378,433,239163.0,253015.0,13852.0,13853.0,31021.396133617272,31424.6892,31737.449,429708.418953,1418037.7825449
dataset2,2,NUCLEO-F446RE,STM32F446RE,84,953538,sphincs_sha2_128s,sign,12,7856,250934746,2987318,306616.0364124,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2364,2376,432,344430.0,347417.0,2987.0,2988.0,31106.148233601078,31457.5145,31763.701,92913.950428,306616.0364124
dataset2,2,NUCLEO-F446RE,STM32F446RE,84,953664,sphincs_sha2_128s,verify,7856,0,9026559,107459,10965.819562500004,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2364,2376,432,344556.0,344663.0,107.0,108.0,31054.916287037035,31466.8919,31628.682,3322.975625,10965.819562500004
dataset2,3,NUCLEO-F446RE,STM32F446RE,84,967591,sphincs_sha2_128s,keygen,0,32,1163322641,13849079,1418188.2935186997,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2363,2377,432,358483.0,372332.0,13849.0,13850.0,31031.4233566065,31448.89835,31721.834,429754.02833900007,1418188.2935186997
dataset2,3,NUCLEO-F446RE,STM32F446RE,84,1072848,sphincs_sha2_128s,sign,12,7856,250097152,2977347,305754.6970929,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2360,2373,432,463740.0,466717.0,2977.0,2978.0,31122.79526997985,31502.67745,31785.676,92652.938513,305754.6970929
dataset2,3,NUCLEO-F446RE,STM32F446RE,84,1072961,sphincs_sha2_128s,verify,7856,0,7964982,94821,9656.934573,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2360,2373,432,463853.0,463947.0,94.0,95.0,31136.373642105256,31524.1892,31611.686,2926.3438100000003,9656.934573
dataset2,4,NUCLEO-F446RE,STM32F446RE,84,1086896,sphincs_sha2_128s,keygen,0,32,1163997013,13857107,1420055.1157155,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2360,2374,433,477788.0,491645.0,13857.0,13858.0,31054.34225184009,31478.9671,31776.754,430319.73203500005,1420055.1157155
dataset2,4,NUCLEO-F446RE,STM32F446RE,84,1192163,sphincs_sha2_128s,sign,12,7856,250929276,2987253,306692.1982806,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2356,2370,432,583055.0,586042.0,2987.0,2988.0,31113.42576372156,31477.95645,31718.352,92937.029782,306692.1982806
dataset2,4,NUCLEO-F446RE,STM32F446RE,84,1192282,sphincs_sha2_128s,verify,7856,0,8445130,100537,10319.8796085,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2356,2370,432,583174.0,583274.0,100.0,101.0,31273.34837623762,31483.629,31528.725,3127.236245,10319.8796085
dataset2,5,NUCLEO-F446RE,STM32F446RE,84,1206209,sphincs_sha2_128s,keygen,0,32,1163311441,13848945,1418154.3567444,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2367,433,597101.0,610949.0,13848.0,13849.0,31032.881498880783,31446.8032,31739.004,429743.744468,1418154.3567444
dataset2,5,NUCLEO-F446RE,STM32F446RE,84,1311454,sphincs_sha2_128s,sign,12,7856,249106308,2965551,303739.5011607,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2370,433,702346.0,705311.0,2965.0,2966.0,31042.93245616992,31480.06125,31776.779,92042.273079,303739.5011607
dataset2,5,NUCLEO-F446RE,STM32F446RE,84,1311569,sphincs_sha2_128s,verify,7856,0,8142881,96939,9825.3173106,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2370,433,702461.0,702557.0,96.0,97.0,31016.963546391755,31509.782,31554.527,2977.368882,9825.3173106
dataset2,6,NUCLEO-F446RE,STM32F446RE,84,1325493,sphincs_sha2_128s,keygen,0,32,1163027925,13845570,1416546.6155478002,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2370,433,716385.0,730230.0,13845.0,13846.0,31004.46507294525,31464.66025,31762.035,429256.550166,1416546.6155478002
dataset2,6,NUCLEO-F446RE,STM32F446RE,84,1430734,sphincs_sha2_128s,sign,12,7856,248795890,2961855,303096.1151559,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2358,2366,433,821626.0,824587.0,2961.0,2962.0,31018.929555030383,31438.3623,31689.348,91847.307623,303096.1151559
dataset2,6,NUCLEO-F446RE,STM32F446RE,84,1430857,sphincs_sha2_128s,verify,7856,0,8793529,104684,10596.2884203,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2358,2367,433,821749.0,821853.0,104.0,105.0,30874.30136190476,31091.4686,31397.201,3210.9964910000003,10596.2884203
dataset2,7,NUCLEO-F446RE,STM32F446RE,84,1444789,sphincs_sha2_128s,keygen,0,32,1163739022,13854035,1419098.4013041,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2368,433,835681.0,849535.0,13854.0,13855.0,31040.136133814507,31471.3973,31752.336,430029.81857700006,1419098.4013041
dataset2,7,NUCLEO-F446RE,STM32F446RE,84,1550030,sphincs_sha2_128s,sign,12,7856,248727798,2961045,303971.524923,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2364,433,940922.0,943883.0,2961.0,2962.0,31108.62050607697,31480.4161,31734.291,92112.58331,303971.524923
dataset2,7,NUCLEO-F446RE,STM32F446RE,84,1550155,sphincs_sha2_128s,verify,7856,0,8916517,106149,10789.9478478,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2364,433,941047.0,941153.0,106.0,107.0,30850.804448598134,31092.6292,31354.91,3269.6811660000003,10789.9478478
dataset2,8,NUCLEO-F446RE,STM32F446RE,84,1564082,sphincs_sha2_128s,keygen,0,32,1163310529,13848934,1417206.4614246,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2367,433,954974.0,968822.0,13848.0,13849.0,31012.151195248756,31463.1634,31790.061,429456.503462,1417206.4614246
dataset2,8,NUCLEO-F446RE,STM32F446RE,84,1669316,sphincs_sha2_128s,sign,12,7856,248188126,2954620,302748.2539884,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2356,2364,433,1060208.0,1063162.0,2954.0,2955.0,31056.70650896785,31462.8577,31716.873,91741.895148,302748.2539884
dataset2,8,NUCLEO-F446RE,STM32F446RE,84,1669436,sphincs_sha2_128s,verify,7856,0,8498682,101174,10301.3562036,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2356,2364,433,1060328.0,1060429.0,101.0,102.0,30904.475225490198,31337.4884,31459.654,3121.623092,10301.3562036
dataset2,9,NUCLEO-F446RE,STM32F446RE,84,1683368,sphincs_sha2_128s,keygen,0,32,1163746473,13854124,1418560.8134478,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2357,2366,432,1074260.0,1088114.0,13854.0,13855.0,31028.338986214367,31468.2693,31746.518,429866.913166,1418560.8134478
dataset2,9,NUCLEO-F446RE,STM32F446RE,84,1788621,sphincs_sha2_128s,sign,12,7856,249757061,2973298,304258.9747989,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2353,2360,433,1179513.0,1182486.0,2973.0,2974.0,31012.33154505716,31415.3649,31660.076,92199.689333,304258.9747989
dataset2,9,NUCLEO-F446RE,STM32F446RE,84,1788741,sphincs_sha2_128s,verify,7856,0,8492367,101099,10328.9313336,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2353,2360,433,1179633.0,1179734.0,101.0,102.0,30992.780774509807,31430.17075,31485.404,3129.979192,10328.9313336
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,1802671,sphincs_sha2_128s,keygen,0,32,1163577031,13852107,1414898.7080778,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2351,2361,433,1193563.0,1207415.0,13852.0,13853.0,30952.7496522053,31408.094800000003,31675.104,428757.18426600005,1414898.7080778
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,1907940,sphincs_sha2_128s,sign,12,7856,251115702,2989472,306074.1457323,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2352,2359,433,1298832.0,1301821.0,2989.0,2990.0,31030.438045484952,31436.7841,31695.42,92749.741131,306074.1457323
dataset2,10,NUCLEO-F446RE,STM32F446RE,84,1908065,sphincs_sha2_128s,verify,7856,0,8907318,106039,10810.1798937,15641,3856,3856,gcc-arm-none-eabi,O2,off,unknown,nogit,2352,2359,433,1298957.0,1299063.0,106.0,107.0,30901.63927102804,31348.1471,31484.844,3275.812089,10810.1798937
