board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,908,dilithium2,keygen,0,1312,3108983,37011,21312.75471,806,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,1170.35,1375.66,205.31,20532,31456.87263,36156.898,44584.117,6458.410519,21312.75471
NUCLEO-F446RE,STM32F446RE,84,1036,dilithium2,sign,14,2420,9677574,115209,15641.15556,806,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,1404.86,1555.11,150.25,15026,31545.71785,36261.539,44856.109,4739.744108,15641.15556
NUCLEO-F446RE,STM32F446RE,84,1088,dilithium2,verify_ok,2420,0,3303968,39332,13691.76774,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,1579.92,1709.33,129.41,12942,32061.05035,36366.23,44856.109,4149.020526,13691.76774
NUCLEO-F446RE,STM32F446RE,84,1162,dilithium2,keygen,0,1312,3109078,37012,13544.17105,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,1734.3,1862.54,128.24,12825,32004.78989,36366.23,44692.875,4104.294256,13544.17105
NUCLEO-F446RE,STM32F446RE,84,1228,dilithium2,sign,14,2420,4496983,53535,13650.57827,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,1886.69,2016.14,129.45,12946,31954.72283,36313.879,44529.758,4136.53887,13650.57827
NUCLEO-F446RE,STM32F446RE,84,1278,dilithium2,verify_ok,2420,0,3184147,37906,4046.47857,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,2041.1,2078.19,37.09,3710,33060.27574,36523.371,43012.977,1226.205627,4046.47857
NUCLEO-F446RE,STM32F446RE,84,1353,dilithium2,keygen,0,1312,3142656,37412,11643.79218,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,2090.83,2206.3,115.47,11548,30557.04403,35791.066,44856.109,3528.421874,11643.79218
NUCLEO-F446RE,STM32F446RE,84,1458,dilithium2,sign,14,2420,7719883,91903,4222.887,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,2219.02,2258.44,39.42,3943,32462.27111,36366.23,44584.117,1279.662727,4222.887
NUCLEO-F446RE,STM32F446RE,84,1508,dilithium2,verify_ok,2420,0,3183833,37902,4017.07635,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,2295.69,2332.77,37.08,3709,32828.90679,36575.773,42473.742,1217.295864,4017.07635
NUCLEO-F446RE,STM32F446RE,84,1582,dilithium2,keygen,0,1312,3065325,36491,5517.17832,806,144,144,gcc-arm-none-eabi,O2,off,2219,2227,519,2345.49,2399.1,53.61,5362,31185.82761,35895.523,44856.109,1671.872218,5517.17832
NUCLEO-F446RE,STM32F446RE,84,1650,dilithium2,sign,14,2420,4551951,54189,4106.835907,797,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,2411.72,2449.69,37.97,3798,32775.76322,36523.371,43878.457,1244.495729,4106.835907
NUCLEO-F446RE,STM32F446RE,84,1700,dilithium2,verify_ok,2420,0,3183806,37902,4071.712673,797,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,2487.05,2524.54,37.49,3750,32911.50507,36523.371,44203.871,1233.852325,4071.712673
NUCLEO-F446RE,STM32F446RE,84,1774,dilithium2,keygen,0,1312,3086977,36749,9282.651806,797,144,144,gcc-arm-none-eabi,O2,off,2219,2228,519,2537.25,2629.35,92.1,9211,30542.07155,35895.523,44638.488,2812.92479,9282.651806
NUCLEO-F446RE,STM32F446RE,84,1880,dilithium2,sign,14,2420,7836640,93293,4096.618438,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,2641.97,2679.95,37.98,3799,32685.61155,36470.977,44041.105,1241.399527,4096.618438
NUCLEO-F446RE,STM32F446RE,84,1931,dilithium2,verify_ok,2420,0,3184167,37906,3996.649806,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,2717.54,2754.09,36.55,3656,33135.59513,36680.625,43715.926,1211.106002,3996.649806
NUCLEO-F446RE,STM32F446RE,84,2005,dilithium2,keygen,0,1312,3065381,36492,5573.370615,797,144,144,gcc-arm-none-eabi,O2,off,2219,2227,518,2767.44,2821.74,54.3,5431,31103.13418,36000.035,44475.41,1688.900186,5573.370615
