board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk_start_ms,ppk_end_ms,ppk_duration_ms,ppk_n_samples,ppk_current_mean_uA,ppk_current_p95_uA,ppk_current_max_uA,ppk_charge_uC,ppk_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,332,kyber512,keygen,0,800,907906,10808,3826.818197,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,685.71,722.95,37.24,3725,31139.68523,35895.523,43120.977,1159.641878,3826.818197
NUCLEO-F446RE,STM32F446RE,84,357,kyber512,encaps,800,768,1010822,12033,4139.377563,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,752.01,793.74,41.73,4174,30058.87461,35843.289,42851.07,1254.356837,4139.377563
NUCLEO-F446RE,STM32F446RE,84,385,kyber512,decaps,768,32,1208070,14381,3816.760471,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,818.65,855.87,37.22,3723,31074.53203,35895.523,42958.992,1156.594082,3816.760471
NUCLEO-F446RE,STM32F446RE,84,433,kyber512,keygen,0,800,907914,10808,3800.784179,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,880.65,917.88,37.23,3724,30936.14777,35895.523,42689.281,1151.752782,3800.784179
NUCLEO-F446RE,STM32F446RE,84,457,kyber512,encaps,800,768,1010829,12033,3937.248863,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,942.66,980.63,37.97,3798,31422.32594,35947.773,42635.375,1193.105716,3937.248863
NUCLEO-F446RE,STM32F446RE,84,484,kyber512,decaps,768,32,1208101,14382,1128.92306,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,1004.64,1015.43,10.79,1080,31705.08778,36156.898,42635.375,342.0978971,1128.92306
NUCLEO-F446RE,STM32F446RE,84,533,kyber512,keygen,0,800,907808,10807,1194.321313,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,1028.66,1040.67,12.01,1202,30134.51702,35738.855,42581.484,361.9155495,1194.321313
NUCLEO-F446RE,STM32F446RE,84,557,kyber512,encaps,800,768,1010724,12032,1477.036269,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,1054.06,1068.42,14.36,1437,31168.9936,36156.898,42743.195,447.5867482,1477.036269
NUCLEO-F446RE,STM32F446RE,84,584,kyber512,decaps,768,32,1208001,14380,1120.667694,852,45200,45200,gcc-arm-none-eabi,O2,off,2240,2245,527,1105.55,1116.34,10.79,1080,31473.24105,36211.8274,42204.617,339.5962709,1120.667694
NUCLEO-F446RE,STM32F446RE,84,633,kyber512,keygen,0,800,962628,11459,1236.321554,852,45200,45200,gcc-arm-none-eabi,O2,off,2239,2248,527,1128.95,1140.97,12.02,1203,31168.2941,35738.855,42851.07,374.6428951,1236.321554
NUCLEO-F446RE,STM32F446RE,84,658,kyber512,encaps,800,768,1010926,12034,1482.617461,852,45200,45200,gcc-arm-none-eabi,O2,off,2239,2248,527,1153.85,1168.22,14.37,1438,31264.9978,36052.309,43120.977,449.2780184,1482.617461
NUCLEO-F446RE,STM32F446RE,84,685,kyber512,decaps,768,32,1208179,14383,1146.779802,852,45200,45200,gcc-arm-none-eabi,O2,off,2239,2248,527,1205.52,1216.31,10.79,1080,32206.58305,36156.898,42097.055,347.5090311,1146.779802
NUCLEO-F446RE,STM32F446RE,84,734,kyber512,keygen,0,800,908100,10810,1222.409417,852,45200,45200,gcc-arm-none-eabi,O2,off,2239,2248,527,1228.93,1240.96,12.03,1204,30791.9448,35686.66,42527.609,370.427096,1222.409417
NUCLEO-F446RE,STM32F446RE,84,758,kyber512,encaps,800,768,1011016,12035,1479.477747,852,45200,45200,gcc-arm-none-eabi,O2,off,2239,2248,527,1253.83,1268.2,14.37,1438,31198.78845,36156.898,42635.375,448.32659,1479.477747
NUCLEO-F446RE,STM32F446RE,84,785,kyber512,decaps,768,32,1208283,14384,1174.077968,852,45200,45200,gcc-arm-none-eabi,O2,off,2239,2248,527,1305.51,1316.97,11.46,1147,31045.48014,36104.598,42043.297,355.7812024,1174.077968
NUCLEO-F446RE,STM32F446RE,84,834,kyber512,keygen,0,800,907880,10808,1196.721181,852,45200,45200,gcc-arm-none-eabi,O2,off,2239,2248,527,1329.58,1341.61,12.03,1204,30144.86968,35634.477,43066.969,362.6427822,1196.721181
