board,mcu,freq_mhz,timestamp_ms,alg,op,bytes_in,bytes_out,cycles,usec,energy_uJ,stack_hwm_words,heap_before,heap_after,toolchain,Oflag,lto,lib_commit,fw_git,tmp117_cC,sht31_cC,sht31_rh_dpermil,ppk2_start_ms,ppk2_end_ms,ppk2_duration_ms,ppk2_samples,ppk2_current_mean_uA,ppk2_current_p95_uA,ppk2_current_max_uA,ppk2_charge_uC,ppk2_energy_uJ
NUCLEO-F446RE,STM32F446RE,84,1081,dilithium2,keygen,0,1312,3108937,37011,4033.8041964,806,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,413,9082.0,9119.0,37.0,38.0,32957.70994736842,34719.5032,34867.426,1222.364908,4033.8041964
NUCLEO-F446RE,STM32F446RE,84,1210,dilithium2,sign,14,2420,9732246,115860,10994.036743800003,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9211.0,9326.0,115.0,116.0,28968.421241379314,34665.969,34729.246,3331.5262860000003,10994.036743800003
NUCLEO-F446RE,STM32F446RE,84,1261,dilithium2,verify_ok,2420,0,3184069,37905,3651.811277399999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9262.0,9299.0,37.0,38.0,30023.20471052632,34664.3706,34703.176,1106.6094779999999,3651.811277399999
NUCLEO-F446RE,STM32F446RE,84,1372,dilithium2,keygen,0,1312,3174354,37789,3908.535608999999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9373.0,9410.0,37.0,38.0,31822.25352631579,34307.269,34507.871,1184.4047300000002,3908.535608999999
NUCLEO-F446RE,STM32F446RE,84,1439,dilithium2,sign,14,2420,4496636,53531,5571.2777142,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9440.0,9493.0,53.0,54.0,31864.50533333333,34687.1515,35079.836,1688.265974,5571.2777142
NUCLEO-F446RE,STM32F446RE,84,1489,dilithium2,verify_ok,2420,0,3184124,37906,3185.8781625,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9490.0,9527.0,37.0,38.0,26273.092315789476,31625.0061,32959.883,965.417625,3185.8781625
NUCLEO-F446RE,STM32F446RE,84,1599,dilithium2,keygen,0,1312,3021995,35976,3765.8560169999996,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9600.0,9635.0,35.0,36.0,32647.594333333338,34324.503249999994,34397.25,1141.1684900000002,3765.8560169999996
NUCLEO-F446RE,STM32F446RE,84,1705,dilithium2,sign,14,2420,7840046,93333,8917.5363222,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9706.0,9799.0,93.0,94.0,29012.06303191489,34467.39645,34763.148,2702.2837339999996,8917.5363222
NUCLEO-F446RE,STM32F446RE,84,1756,dilithium2,verify_ok,2420,0,3183989,37904,3981.0498222,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9757.0,9794.0,37.0,38.0,32649.16981578947,34679.431150000004,34763.148,1206.378734,3981.0498222
NUCLEO-F446RE,STM32F446RE,84,1865,dilithium2,keygen,0,1312,3065457,36493,3159.193092,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,413,9866.0,9902.0,36.0,37.0,26809.91021621622,33279.75119999999,34635.438,957.3312400000001,3159.193092
NUCLEO-F446RE,STM32F446RE,84,1933,dilithium2,sign,14,2420,4616989,54964,5828.2255284,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,9934.0,9988.0,54.0,55.0,32564.30729090909,34460.9384,34560.02,1766.1289480000003,5828.2255284
NUCLEO-F446RE,STM32F446RE,84,1984,dilithium2,verify_ok,2420,0,3184157,37906,3814.2494214,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,9985.0,10022.0,37.0,38.0,31320.30555263158,34316.3496,34382.18,1155.833158,3814.2494214
NUCLEO-F446RE,STM32F446RE,84,2093,dilithium2,keygen,0,1312,3087097,36751,3096.5557754999995,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,10094.0,10130.0,36.0,37.0,26029.547891891893,33892.1486,33980.91,938.350235,3096.5557754999995
NUCLEO-F446RE,STM32F446RE,84,2200,dilithium2,sign,14,2420,7836150,93287,9077.963548500002,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,10201.0,10294.0,93.0,94.0,29595.878265957457,33762.32945,34126.164,2750.898045,9077.963548500002
NUCLEO-F446RE,STM32F446RE,84,2251,dilithium2,verify_ok,2420,0,3184135,37906,3634.8364899000003,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,10252.0,10289.0,37.0,38.0,29872.970421052636,33920.82885,34126.164,1101.4656029999999,3634.8364899000003
NUCLEO-F446RE,STM32F446RE,84,2360,dilithium2,keygen,0,1312,3065358,36492,2961.186063000001,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,10361.0,10397.0,36.0,37.0,24921.688729729733,25052.572,25063.834,897.3291099999999,2961.186063000001
NUCLEO-F446RE,STM32F446RE,84,2658,dilithium2,sign,14,2420,23937221,284966,26921.701824599997,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,10659.0,10943.0,284.0,285.0,28745.426922807015,34590.0018,35038.816,8158.091462,26921.701824599997
NUCLEO-F446RE,STM32F446RE,84,2710,dilithium2,verify_ok,2420,0,3249101,38679,3818.060994,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,10711.0,10749.0,38.0,39.0,30532.764230769237,34126.1523,34287.418,1156.9881799999998,3818.060994
NUCLEO-F446RE,STM32F446RE,84,2819,dilithium2,keygen,0,1312,3065329,36492,3209.7453234000004,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2221,412,10820.0,10856.0,36.0,37.0,27225.570216216216,34674.9472,34737.156,972.650098,3209.7453234000004
NUCLEO-F446RE,STM32F446RE,84,3079,dilithium2,sign,14,2420,20722005,246690,23627.0574375,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,11080.0,11326.0,246.0,247.0,29073.295016194334,34558.293999999994,35097.738,7159.714375,23627.0574375
NUCLEO-F446RE,STM32F446RE,84,3130,dilithium2,verify_ok,2420,0,3183532,37899,3886.161087599999,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,11131.0,11168.0,37.0,38.0,31642.151368421055,34747.27965,34873.82,1177.6245719999997,3886.161087599999
NUCLEO-F446RE,STM32F446RE,84,3239,dilithium2,keygen,0,1312,3087383,36754,3678.6098150999997,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2220,412,11240.0,11276.0,36.0,37.0,31029.26183783784,33873.8924,34517.742,1114.7302470000002,3678.6098150999997
NUCLEO-F446RE,STM32F446RE,84,3443,dilithium2,sign,14,2420,15935567,189709,18910.006176600004,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,11444.0,11633.0,189.0,190.0,30337.59068421053,34142.4855,34399.758,5730.304902,18910.006176600004
NUCLEO-F446RE,STM32F446RE,84,3494,dilithium2,verify_ok,2420,0,3184189,37907,3712.8283895999994,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2218,412,11495.0,11532.0,37.0,38.0,30366.140421052634,33865.4484,34023.211,1125.0995119999998,3712.8283895999994
NUCLEO-F446RE,STM32F446RE,84,3603,dilithium2,keygen,0,1312,3087452,36755,3618.0944844000005,797,16144,16144,gcc-arm-none-eabi,O2,off,unknown,nogit,2206,2222,412,11604.0,11640.0,36.0,37.0,30488.803810810816,33889.1286,33953.586,1096.3922679999998,3618.0944844000005
